feature_id,total_times_active,average_activated_value,std_activated_value,total_times_active_hot,average_activated_value_hot,std_activated_value_hot,total_times_active_cold,average_activated_value_cold,std_activated_value_cold,delta_total_times_active,delta_average_activated_value
21018,2792,1.637934,1.092492,1346,1.745283,1.163898,1446,1.538009,1.011359,-100,0.207275
5314,106,14.099007,14.159493,3,0.813245,0.386122,103,14.485971,14.178702,-100,-13.672725
12515,140,0.517494,0.41124,120,0.553011,0.422674,20,0.304389,0.242741,100,0.248623
14378,106,2.575797,0.969722,3,0.823016,0.0,103,2.626849,0.935768,-100,-1.803833
16688,442,0.786681,0.700352,171,0.593293,0.479074,271,0.908708,0.785291,-100,-0.315415
1960,1219,2.826413,2.028582,659,2.690858,2.020828,560,2.985932,2.026087,99,-0.295074
23731,115,1.78616,1.178069,8,0.621507,0.58629,107,1.873237,1.164866,-99,-1.25173
2514,165,3.16883,2.445216,132,3.336212,2.218362,33,2.499303,3.106535,99,0.836909
19733,160,2.941451,2.198525,129,3.390263,2.171589,31,1.073815,0.998529,98,2.316448
496,110,1.060734,0.766389,6,0.384419,0.212573,104,1.099752,0.768583,-98,-0.715333
23267,164,1.730435,1.540059,33,0.434808,0.335006,131,2.056815,1.55293,-98,-1.622006
15347,103,24.717553,18.567772,3,24.26258,14.645585,100,24.731202,18.672542,-97,-0.468622
24321,291,1.100067,1.025718,194,1.09284,0.989207,97,1.114521,1.094951,97,-0.021681
18974,129,1.792301,1.209889,113,1.956782,1.182309,16,0.630654,0.623939,97,1.326128
22284,113,1.379465,1.035188,8,1.57718,1.258306,105,1.364401,1.014603,-97,0.212779
21903,368,1.037823,0.901603,232,1.07208,0.900236,136,0.979384,0.900929,96,0.092696
24462,1216,1.222262,0.863863,560,1.438347,1.011938,656,1.037799,0.659743,-96,0.400548
20184,163,1.015268,1.005975,129,1.020683,0.984892,34,0.994723,1.081989,95,0.02596
18544,415,0.453598,0.416633,160,0.448531,0.421791,255,0.456777,0.413332,-95,-0.008246
1449,444,2.424512,1.8687,269,2.455802,1.935796,175,2.376415,1.7595,94,0.079388
16664,1603,1.122341,0.906239,848,1.098434,0.895334,755,1.149193,0.91759,93,-0.050759
20972,223,1.175833,0.794233,65,0.865874,0.584905,158,1.303347,0.832939,-93,-0.437473
11746,3146,158.235347,231.163647,1619,153.747843,229.362117,1527,162.993218,232.964116,92,-9.245374
22609,194,1.199477,1.039373,143,1.38597,1.128618,51,0.676565,0.40845,92,0.709405
19477,116,9.002037,11.705169,12,15.607745,23.02775,104,8.23984,9.274606,-92,7.367904
280,117,5.586443,5.412307,104,6.207939,5.419505,13,0.614472,0.926736,91,5.593467
11421,237,3.29018,2.865476,73,0.846255,0.656929,164,4.378025,2.79852,-91,-3.53177
7467,141,0.844836,0.840701,116,0.886462,0.881478,25,0.651689,0.579296,91,0.234773
2956,273,0.61237,0.555944,91,0.545517,0.496315,182,0.645796,0.580598,-91,-0.100279
15908,139,1.909505,1.629933,115,1.978908,1.544535,24,1.57695,1.954991,91,0.401958
21324,404,2.045371,1.799582,157,1.961345,1.824592,247,2.098779,1.781443,-90,-0.137434
17376,90,1.806425,1.371134,90,1.806425,1.371134,0,0.0,0.0,90,1.806425
18255,134,2.108892,1.44558,112,2.411757,1.370082,22,0.567034,0.572382,90,1.844723
9591,156,0.451536,0.324215,33,0.371482,0.278962,123,0.473014,0.332051,-90,-0.101532
8097,767,1.552922,1.124539,339,1.333859,0.959313,428,1.726431,1.212098,-89,-0.392572
12560,991,1.729197,1.321154,540,2.096545,1.531373,451,1.289357,0.820014,89,0.807188
15200,103,1.015547,0.751191,96,1.033707,0.772082,7,0.766497,0.247619,89,0.267209
11867,222,1.153286,1.064569,155,1.397736,1.144523,67,0.587767,0.516374,88,0.809969
1136,128,4.993775,3.878664,20,4.839921,5.365266,108,5.022267,3.534687,-88,-0.182346
2243,233,0.66954,0.573816,160,0.776628,0.607681,73,0.434825,0.401673,87,0.341804
20662,105,1.380019,1.104443,9,2.460365,1.667495,96,1.278737,0.976625,-87,1.181628
18221,105,0.901453,0.676383,96,0.925164,0.694537,9,0.648542,0.349378,87,0.276621
18157,174,0.434349,0.348227,44,0.505784,0.404429,130,0.410171,0.323471,-86,0.095613
11367,451,1.512885,1.394902,268,1.64918,1.522654,183,1.313284,1.154496,85,0.335896
7274,868,0.735205,0.460717,476,0.804259,0.453197,392,0.651354,0.455834,84,0.152905
11673,90,23.876744,22.311578,87,24.599565,22.335609,3,2.914938,3.484727,84,21.684628
11058,356,0.612131,0.493323,136,0.516379,0.458742,220,0.671323,0.504529,-84,-0.154943
21749,136,1.367999,1.203981,26,1.475726,1.363375,110,1.342536,1.16166,-84,0.133189
4100,112,3.051885,1.773525,98,3.23651,1.77791,14,1.759506,1.061851,84,1.477005
7391,121,3.05323,2.71573,19,2.002955,1.826386,102,3.248869,2.807827,-83,-1.245914
5919,131,2.683592,1.901002,107,2.874025,1.839379,24,1.834578,1.938795,83,1.039448
16546,456,2.737174,2.178158,187,2.191862,2.173826,269,3.116257,2.099298,-82,-0.924395
16905,270,1.982418,2.50353,94,2.293204,2.863348,176,1.81643,2.270934,-82,0.476774
23893,84,27.264712,16.89481,83,27.590137,16.732539,1,0.254436,0.0,82,27.335701
13710,295,1.686365,1.42977,188,1.631195,1.393468,107,1.783299,1.486463,81,-0.152104
4079,229,0.51561,0.426663,155,0.537159,0.442045,74,0.470472,0.388643,81,0.066687
18412,368,2.320284,1.751709,224,3.057503,1.697854,144,1.173498,1.094036,80,1.884006
22364,546,1.16301,0.816581,233,1.077171,0.810125,313,1.22691,0.815508,-80,-0.149739
22652,100,1.787962,1.317208,90,1.931475,1.304773,10,0.496348,0.41814,80,1.435127
22615,84,3.119834,3.117526,2,11.861506,8.772728,82,2.906623,2.483876,-80,8.954883
5506,82,7.353946,3.935021,81,7.43568,3.889442,1,0.733469,0.0,80,6.702211
19756,178,1.148935,0.816643,129,1.134421,0.84208,49,1.187146,0.744185,80,-0.052725
2215,2489,2.051229,1.896571,1284,2.072721,1.908842,1205,2.028328,1.883139,79,0.044392
5926,2031,1.612508,1.484768,976,1.613408,1.504934,1055,1.611676,1.465865,-79,0.001732
7630,113,1.262408,1.56924,96,1.300526,1.341386,17,1.047151,2.480542,79,0.253375
13151,527,0.400978,0.344859,303,0.368982,0.298012,224,0.444259,0.395483,79,-0.075277
1691,301,0.786789,0.62134,111,0.699589,0.521894,190,0.837732,0.667417,-79,-0.138143
18658,259,0.702576,0.562851,90,0.800586,0.684651,169,0.650381,0.477538,-79,0.150205
15075,2004,2.408445,1.885619,1041,2.626276,1.964515,963,2.172972,1.76648,78,0.453304
23688,2766,1.519956,1.117858,1422,1.585897,1.133397,1344,1.450189,1.096871,78,0.135708
20637,190,2.204133,1.730437,134,2.428651,1.82366,56,1.666896,1.338788,78,0.761755
16961,639,4.526449,3.008096,358,4.182925,2.807648,281,4.964105,3.192483,77,-0.78118
