feature_id,total_times_active,average_activated_value,std_activated_value,total_times_active_hot,average_activated_value_hot,std_activated_value_hot,total_times_active_cold,average_activated_value_cold,std_activated_value_cold,delta_total_times_active,delta_average_activated_value
3412,642,30.122716,6.292894,266,30.024045,6.424504,376,30.19252,6.19715,-110,-0.168475
1529,2245,36.762588,10.656345,1177,36.152323,10.398985,1068,37.435137,10.893428,109,-1.282814
110,499,33.059067,14.741327,195,32.621549,14.82044,304,33.339712,14.683495,-109,-0.718163
205,280,36.93121,19.866742,194,39.181965,18.883083,86,31.853925,21.058606,108,7.32804
3,1535,93.157531,67.665018,714,89.952086,65.313335,821,95.945215,69.525634,-107,-5.993129
128,901,39.099973,18.728561,397,36.964018,16.965788,504,40.782462,19.846847,-107,-3.818443
754,331,33.685335,13.353775,112,31.046592,12.848456,219,35.034829,13.405692,-107,-3.988237
974,160,33.28118,11.779394,27,30.221597,12.802606,133,33.902299,11.461317,-106,-3.680702
7651,348,40.895941,22.111579,121,38.953672,20.160732,227,41.931247,23.017326,-106,-2.977575
546,207,35.17696,15.948291,51,35.088733,16.865277,156,35.205804,15.63674,-105,-0.11707
226,914,53.181743,33.880696,509,51.176905,32.259714,405,55.701403,35.654522,104,-4.524498
1596,913,36.971922,13.708632,405,35.779327,13.20735,508,37.922712,14.023035,-103,-2.143385
562,353,23.369026,11.713953,228,23.491248,10.749773,125,23.146092,13.290822,103,0.345156
1129,958,37.88864,15.854462,428,34.519687,14.42896,530,40.60923,16.421263,-102,-6.089543
5842,102,41.938267,12.593384,0,0.0,0.0,102,41.938267,12.593384,-102,-41.938267
48,1299,29.395633,14.093057,599,28.512213,14.08231,700,30.151588,14.058239,-101,-1.639375
1297,2117,40.388069,17.012906,1109,40.33298,16.757758,1008,40.448677,17.289068,101,-0.115697
150,272,36.964495,17.942198,186,38.729379,18.299929,86,33.147423,16.509855,100,5.581956
209,2984,103.581252,127.0607,1542,96.140032,120.026735,1442,111.538507,133.717701,100,-15.398475
276,900,47.160926,27.088556,400,50.336802,30.970738,500,44.620225,23.215262,-100,5.716577
11895,2364,39.902775,8.362294,1232,40.586402,9.235678,1132,39.158757,7.220681,100,1.427645
786,480,33.389987,12.271596,290,32.740559,11.590246,190,34.381219,13.182605,100,-1.640659
858,457,31.671581,13.478357,179,34.496096,16.288872,278,29.852919,10.924904,-99,4.643177
2496,157,42.339704,19.349961,29,28.661665,14.427576,128,45.438634,18.976301,-99,-16.776969
